description,category
dominos pizza,Food
kfc burger,Food
zomato order,Food
swiggy delivery,Food
restaurant bill,Food
cafe coffee,Food
lunch canteen,Food
dinner outside,Food
grocery store,Food
milk and bread,Food
uber ride,Travel
ola cab,Travel
metro card,Travel
bus ticket,Travel
flight tickets,Travel
hotel booking,Travel
petrol pump,Travel
fuel station,Travel
train ticket,Travel
amazon purchase,Shopping
flipkart order,Shopping
new shirt,Shopping
shoes purchase,Shopping
mall shopping,Shopping
myntra clothes,Shopping
online shopping,Shopping
electricity bill,Bills
water bill,Bills
wifi recharge,Bills
mobile recharge,Bills
internet bill,Bills
broadband bill,Bills
phone bill,Bills
doctor consultation,Health
medicine pharmacy,Health
gym membership,Health
hospital charges,Health
health checkup,Health
netflix subscription,Entertainment
spotify premium,Entertainment
movie tickets,Entertainment
gaming purchase,Entertainment
house rent,Housing
apartment maintenance,Housing
society charges,Housing
salary credit,Income
freelance payment,Income
bonus received,Income
